Title,Publisher,Published,Downloads,Pages,Category
The Enchanted Crusade,Robert W. Krepps,Oct-21,71,108,Fiction
The Lake of Wine,Bernard Edward Joseph Capes,Oct-21,19,501,Fiction
The Cosmic Junkman,Rog Phillips,Oct-21,16,88,Fiction
The Cyberene,Rog Phillips,Oct-21,71,96,Fiction
"Second to None: A Military Romance, Volume 3 (of 3)",James Grant,Oct-21,34,175,Fiction
"Second to None: A Military Romance, Volume 2 (of 3)",James Grant,Oct-21,38,168,Fiction
"Second to None: A Military Romance, Volume 1 (of 3)",James Grant,Oct-21,57,170,Fiction
The Money Found in the Canvass Bag,Austin Mitchell,Oct-21,80,26,Fiction
The Black Arrow: A Tale of the Two Roses,Robert Louis Stevenson,Oct-21,233,303,Fiction
The Tower of London Vol. 1,Lord Ronald Sutherland Gower,Oct-21,56,304,Fiction
The Warden of the Marches,Sydney C. Grier,Oct-21,40,443,Fiction
The Plagiarist From Rigel IV,Evan Hunter,Oct-21,9,28,Fiction
Planet of Dread,Dwight V. Swain,Oct-21,69,121,Fiction
The Sling and the Stone,Michael Shaara,Sep-21,51,22,Fiction
Peril of the Starmen,Kris Neville,Sep-21,84,110,Fiction
'Unto Caesar',Baroness Orczy,Sep-21,48,412,Fiction
The Triumph of the Scarlet Pimpernel,Baroness Orczy,Sep-21,134,367,Fiction
Marius the Epicurean — Volume 1,Walter Pater,Sep-21,30,186,Fiction
Marius the Epicurean — Volume 2,Walter Pater,Sep-21,20,171,Fiction
Peace with Honour,Sydney C. Grier,Sep-21,86,472,Fiction
Eunice and Cricket,Elizabeth Weston Timlow,Sep-21,53,219,Fiction
His Majesty's Well-Beloved,Baroness Orczy,Sep-21,164,276,Fiction
A Bride of the Plains,Baroness Orczy,Sep-21,218,323,Fiction
Wanderlust,Alan Edward Nourse,Sep-21,70,13,Fiction
For Love and Life; Vol. 2,Mrs. Oliphant,Sep-21,32,274,Fiction
For Love and Life; Vol. 1,Mrs. Oliphant,Sep-21,78,264,Fiction
Bread,Charles G. Norris,Sep-21,77,487,Fiction
Madeleine: One of Love's Jansenists,Hope Mirrlees,Aug-21,100,304,Fiction
Pelle the Conqueror — Complete,Martin Andersen Nexø,Aug-21,73,1485,Fiction
'That Very Mab',May Kendall and Andrew Lang,Aug-21,48,117,Fiction
Ariel's Tear,Justin Rose,Aug-21,116,108,Fiction
Bevis: The Story of a Boy,Richard Jefferies,Aug-21,90,687,Fiction
The Brethren,H. Rider Haggard,Aug-21,41,459,Fiction
The Flag of the Adventurer,Sydney C. Grier,Aug-21,34,459,Fiction
The Advanced-Guard,Sydney C. Grier,Aug-21,24,384,Fiction
The Fire Flower,Jackson Gregory,Aug-21,124,118,Fiction
Labyrinthine Beast,Tami Elder,Aug-21,48,20,Fiction
The House of Spies,Warwick Deeping,Jul-21,224,387,Fiction
Snake and Sword: A Novel,Percival Christopher Wren,Jul-21,155,300,Fiction
Kai Lung's Golden Hours,Ernest Bramah,Jul-21,31,288,Fiction
The Story of a Needle,A. L. O. E.,Jul-21,91,112,Fiction
"Lightning Jo, the Terror of the Santa Fe Trail: A Tale of the Present Day",Ellis,Jul-21,28,137,Fiction
The Chaste Diana,E. Barrington,Jun-21,45,285,Fiction
Trent's Last Case,E. C. Bentley,Jun-21,265,233,Fiction
Dickey 's school show,Raghunathan T.K,Jun-21,32,45,Fiction
The Reformer: A Novel Based on the Life of Martin Luther,Maysam Yabandeh,Mar-21,376,70,Fiction
Phantomaniacs: World of Shadows,Theodora Oniceanu,Mar-21,36,34,Fiction
The Revenge of Blood-Red Rivers,Martin Lundqvist,Feb-21,184,76,Fiction
the Lost Project,Chase McGuire,Dec-20,171,148,Fiction
Bad Boys,Terry Morgan,Oct-20,530,303,Fiction
HYDRA,Robby Richardson,Sep-20,350,376,Fiction
Qurantine Episodes,Festus  Destiny,Sep-20,141,55,Fiction
Juju,Festus  Destiny,Aug-20,233,76,Fiction
Nauca - Daughter of the Steppes,Michel Poulin,Aug-20,1384,192,Fiction
Eileen McHugh - a life remade,Philip Spires,Jun-20,308,306,Fiction
Raising Nancy,Michel Poulin,Jun-20,1418,397,Fiction
Metamorphosis,Festus  Destiny,Jun-20,303,28,Fiction
37 Short Stories,Fed Starving,May-20,1033,256,Fiction
War of Ascension Book I: The Prophecy,Frederick Edward Fabella,Apr-20,1059,11,Fiction
A Deadly Tango,Michel Poulin,Apr-20,1584,117,Fiction
Moons of Amaterasu,Theodora Oniceanu,Apr-20,1185,120,Fiction
Why I killed myself,Anne Adefesobi,Mar-20,745,42,Fiction
Indemnify,Blake Steidler (Bob),Feb-20,823,311,Fiction
In Love and Law,Drake Koefoed,Feb-20,874,417,Fiction
Syd in Retirement,Drake Koefoed,Feb-20,377,306,Fiction
The Problem with Sylvestrina,Drake Koefoed,Feb-20,636,317,Fiction
The Rancher's Nephew,Drake Koefoed,Feb-20,306,519,Fiction
New Sheriff in Town,Drake Koefoed,Feb-20,444,499,Fiction
Randomness,Iris H,Jan-20,557,75,Fiction
Cruising the South,K J Tesar,Jan-20,963,127,Fiction
The Bass Player,Drake Koefoed,Jan-20,304,461,Fiction
Evening Star Ranch,Drake Koefoed,Jan-20,129,259,Fiction
Something About Alice,Drake Koefoed,Jan-20,201,569,Fiction
Captain Dave,Drake Koefoed,Jan-20,221,447,Fiction
Unknown,Anne adefesobi,Dec-19,397,77,Fiction
Into a Pinyin Sunrise,Anthony DeMarco,Nov-19,121,47,Fiction
The End: The Book: Part One,JL Robb,Nov-19,583,340,Fiction
McMurtry's Typewriter,Alan Nafzger,Nov-19,232,120,Fiction
Rambo Year One Vol.4: Take me to the Devil,Wallace Lee,Oct-19,162,286,Fiction
The Oceanview (Adult) (The Other World),Robert Garcia,Oct-19,159,50,Fiction
The Oceanview: Adult.... (The Purpose of Forgotten Rain),Robert Garcia,Sep-19,77,31,Fiction
The Life and Deaths of Crispin Lacey,Barbara Bretana,Sep-19,553,399,Fiction
The Oceanview: Adult.... (Lake Flower),Robert Garcia,Sep-19,66,157,Fiction
The Jim Henson movie club,Thomas H. Cayne,Sep-19,163,66,Fiction
The Oceanview: Young Adult.... Adult (A Progress of Time),Robert Garcia,Sep-19,45,118,Fiction
Look at that,Simos Panopoulos,Aug-19,1102,106,Fiction
Bag Toter,Peter Amore,Aug-19,201,43,Fiction
The Grand Army Of The Golden Eagle,H.L. Dowless,Jun-19,231,465,Fiction
The Seed: Trilogy of Time Part 1,Jaco Basson,Jun-19,563,50,Fiction
Ghost of Dalmos,Omoruyi Uwuigiaren,May-19,412,50,Fiction
An Age of Understanding,K J Tesar,Apr-19,510,164,Fiction
Harajuku Sunday,S. Michael Choi,Mar-19,218,150,Fiction
Seabins,Bel Richardson,Jan-19,67,24,Fiction
Silver's Bane,Ashli & Trisha Edwards,Jan-19,1472,462,Fiction
Prisoners,Terry Morgan,Jan-19,1727,78,Fiction
God's Factory,Terry Morgan,Jan-19,437,30,Fiction
The Red Lantern,Terry Morgan,Jan-19,899,73,Fiction
Vendetta,Terry Morgan,Jan-19,661,249,Fiction
An Honourable Fake,Terry Morgan,Jan-19,669,257,Fiction
Whistleblower,Terry Morgan,Jan-19,606,242,Fiction
The Malthus Pandemic,Terry Morgan,Jan-19,1005,249,Fiction
An Old Spy Story,Terry Morgan,Jan-19,863,253,Fiction
Through the Cracks,K J Tesar,Jan-19,1130,65,Fiction
A New Reality,Michel Poulin,Nov-18,1163,261,Fiction
Searching For Paradise,T.L. Hughes,Nov-18,382,224,Fiction
Like Raindrops on Water: A Love Letter to the World,Jann DiPaolo,Nov-18,209,80,Fiction
The Adventures Of Nancy Laplante In The 19th Century,Michel Poulin,Nov-18,1415,410,Fiction
Rambo Year One Vol. III: Point of No Return,Wallace Lee,Oct-18,411,342,Fiction
Because of Ann,Kelvin Ossai,Sep-18,408,145,Fiction
Linked,Rob Scott,Sep-18,188,75,Fiction
One Year of Life,K J Tesar,Aug-18,845,153,Fiction
At the Midway,J. Clayton Rogers,Aug-18,1241,320,Fiction
The Giants- A New Species,L.Lavender,Aug-18,379,281,Fiction
The Secret of Mara,I May End Soon,Aug-18,433,53,Fiction
My Big Girl Dream,I May End Soon,Aug-18,153,90,Fiction
Hello. Anybody in there?,W H Hilton,Aug-18,626,155,Fiction
The Girl From Moldova,K J Tesar,Aug-18,605,35,Fiction
Back to the Garden,Tony Brown,Jul-18,383,156,Fiction
Escort,Graeme Watson,Jul-18,1340,65,Fiction
Cartoon,Kari Lynn M.,Jun-18,237,251,Fiction
"What Now, Emma Lenford?",Kari Lynn M.,May-18,329,172,Fiction
Light Life Red,Yoo,Apr-18,195,212,Fiction
The Best Scandal Ever Series,Ina Disguise,Apr-18,357,151,Fiction
U-900,Michel Poulin,Mar-18,1539,305,Fiction
Rambo Year One Vol. II: Baker Team,Wallace Lee,Feb-18,702,201,Fiction
Archangel,Evan Ansot,Jan-18,1388,284,Fiction
Blood Royal,Evan Ansot,Jan-18,2025,402,Fiction
Maddie's Fight,K. E. Ward,Jan-18,761,34,Fiction
Narkal: Genesis,Emmanuel Chikoti,Dec-17,513,245,Fiction
"I am not ok, you are not ok, PERIOD",Thomas Steven,Dec-17,527,46,Fiction
This and That,Tom Lichtenberg,Aug-17,300,78,Fiction
Tripping to Utopia,Gianni Mitchell,Jul-17,313,67,Fiction
Purgatory,BG Britton,Jun-17,729,166,Fiction
The Book of Nothing,HJ Alden,Jun-17,686,101,Fiction
Pure Perception (Web of Deception #2),Michelle Watson,May-17,896,456,Fiction
Spy Squad,The_B00kw0rm_,May-17,1389,165,Fiction
Novels and Poems,Patrick Durantou,May-17,101,70,Fiction
Almighty Hercules,Charles E Butler,May-17,466,151,Fiction
Abba's Apocalypse,Charles E Butler,May-17,660,256,Fiction
'Seasoned To Kill',G.J. Prager,Feb-17,220,53,Fiction
"Virtuous Women: Three Classic Korean Novels, A Nine Cloud Dream, Queen Inhyŭn, Chun-hyang",Kim Man-Choong et al.,Feb-17,302,436,Fiction
Career Thief,Michael Fulkerson and Michael King,Jan-17,831,215,Fiction
"The Cloud Dream of the Nine, a Korean Novel: A Story of the Times of the Tangs of China About 840 A.D",LTI,Jan-17,151,280,Fiction
The Nysse,Chris Saferos,Jan-17,1380,205,Fiction
Ship to Shore,Robin Dee,Jan-17,830,139,Fiction
Jesus and Me,Olawale Aina,Jan-17,281,40,Fiction
Modern Life of Immortal Demons,Fang Liu,Dec-16,464,60,Fiction
Human and Stars,Hana Smith,Dec-16,287,26,Fiction
The Incredible Journey,Kundai Pfumayaramba,Dec-16,406,112,Fiction
The Hoodwinked,Harry Prince Inemeawaji,Nov-16,277,31,Fiction
Kerens-h-tein,Anthony DeMarco,Nov-16,111,67,Fiction
Churchsteeple Text,Anthony DeMarco,Nov-16,97,55,Fiction
A Pebble for Dickey,Tkraghunathan,Sep-16,279,76,Fiction
M'Famous,Smoke D.,Sep-16,334,234,Fiction
Between the Lines of Men,Travis Russell,Sep-16,341,225,Fiction
Mandatory Equality,Ina Disguise,Sep-16,412,11,Fiction
Diary of a Human Target (Book Three) - Homestretch,Isidora Vey,Aug-16,357,84,Fiction
"Going LIVE In 3, 2, What?",Adam Stark,Jul-16,503,87,Fiction
The Chronicles of the Mexican Horse Thief IV,Wayne Bisset,Jun-16,92,43,Fiction
Fire Worshipers,Vladimir Olej,Jun-16,300,72,Fiction
The Lone Wolf,Michel Poulin,Jun-16,2676,480,Fiction
Einsteiner,VK Fourstone,May-16,580,219,Fiction
Forget Me Not,Erica Pensini,May-16,1034,79,Fiction
The Missing Link,Erica Pensini,May-16,540,66,Fiction
Lethal Discoveries,Erica Pensini,May-16,724,203,Fiction
Hawkins: Chasing Shadows,Beryl Buxton,May-16,478,73,Fiction
Wings of Darkness,Beryl Buxton,May-16,1046,148,Fiction
"Loss Of Reason: A Thriller (State Of Reason Mystery, Book 1)",Miles A. Maxwell,Apr-16,1628,215,Fiction
Revolutionary Blues,B Sha,Apr-16,493,154,Fiction
"The Wagon #1:  March, 2016",Eddie Mulnix,Mar-16,233,52,Fiction
The Greatest Bastard,Zoe Morelli,Mar-16,692,58,Fiction
Before the Cult,Sandy Masia,Mar-16,449,216,Fiction
Few Moments of Letting Go,Kavita,Mar-16,984,288,Fiction
The Memory Man: T14 Book 1,Marcus Freestone,Mar-16,1215,241,Fiction
The Traveller,Duncan James,Mar-16,768,149,Fiction
A Dog's Life,Gary Whitmore,Feb-16,939,150,Fiction
Horace 'Buckaroo' Muldoon,Michael Burke,Feb-16,373,99,Fiction
Ek Patangiyane Pankho Aavi,Vrajesh Dave,Jan-16,179,376,Fiction
Lookin' For Trouble,Morris Kenyon,Jan-16,1080,253,Fiction
Stan,Kevin Patel,Jan-16,440,22,Fiction
The Juno Letters,L.W. Hewitt,Jan-16,2013,388,Fiction
Sleazeford,Morris Kenyon,Dec-15,613,404,Fiction
Sharky,Jenoah Fields,Dec-15,372,49,Fiction
Winters & Deadshore - Forbidden Cure,Thom J. Poore,Dec-15,599,153,Fiction
The Red-Letter Days,Wilma Sharon F.,Nov-15,472,52,Fiction
Destroyers,Dave Mckay,Nov-15,3691,97,Fiction
Diary of a Human Target (Book Two) - the Path Towards the Inside,Isidora Vey,Nov-15,365,107,Fiction
Listening,Dave Mckay,Nov-15,4056,100,Fiction
Survivors,Dave Mckay,Nov-15,4363,138,Fiction
A Native Pioneer In IT Sector,Rosina S Khan,Nov-15,215,21,Fiction
Attachment - A Collection of Short Stories,Dr Ram Lakhan Prasad,Oct-15,1576,274,Fiction
Views from the Asylum,George L.Hiegel,Sep-15,846,197,Fiction
The Green Lady,Lisa Picard,Aug-15,1281,168,Fiction
The Diary of an Oyibo,Tejiri Oru,Aug-15,355,70,Fiction
The Fire of Success,Ikemegwalu Chidimma,Aug-15,923,27,Fiction
The House of Four Winds,John Buchanan,Aug-15,990,731,Fiction
Diary of a Woman of God - The Secret Place,Sheresha Russell,Aug-15,720,32,Fiction
The Way the Ball Bounces,Edwin  Erickson,Jul-15,236,87,Fiction
An Ideal Girl's Dreams,Rosina S Khan,Jul-15,562,24,Fiction
Gliders,J. M. Barber,Jul-15,766,135,Fiction
I'm Watching You,K. E. Ward,Jul-15,2857,152,Fiction
The Incident,K. E. Ward,Jun-15,2047,332,Fiction
Friends and Foes,Michel Poulin,Jun-15,2737,177,Fiction
The First,Rebekah,Jun-15,367,252,Fiction
A Bright & Unique Sibling,Rosina S Khan,Jun-15,474,21,Fiction
Haunting Scars,D. Sharon,Jun-15,745,198,Fiction
Near the Mediterranean Sea,Rosina S Khan,Apr-15,672,26,Fiction
Linehan's Ordeal,Bryan Murphy,Apr-15,273,24,Fiction
Idea and Stories From a Vodkaholic,Timothy McGee,Mar-15,594,126,Fiction
Pushpa Unveiled,Lorri Frandsen,Mar-15,1171,358,Fiction
The Purgatorium,Eva Pohler,Jan-15,2006,212,Fiction
The Gatekeeper's Sons,Eva Pohler,Jan-15,1881,302,Fiction
Pink Lotus,Manfred Mitze,Jan-15,1155,332,Fiction
Sophie Monroe,Andrew Paul Cannon,Dec-14,211,202,Fiction
Forced Entry,Komrade Komura,Dec-14,678,53,Fiction
Nurturance,Santosh Jha,Dec-14,732,25,Fiction
Glimmering Reflections into my Special Friends' Lives,Rosina S Khan,Dec-14,197,23,Fiction
A Yawoo Life,Geoffrey Clarke,Dec-14,238,52,Fiction
Five Point Someone,CB,Nov-14,4121,137,Fiction
Throne of the Crescent Moon,Saladin Ahmed,Nov-14,1343,173,Fiction
Glaring Shadow - A Stream of Consciousness Novel,BS Murthy,Nov-14,272,77,Fiction
Crossing the Mirage - Passing through Youth,BS Murthy,Nov-14,192,102,Fiction
Jewel-less Crown: Saga of Life,BS Murthy,Nov-14,197,104,Fiction
Through the Looking-Glass Darkly: A True Tale of Awakening,Joshua Dylan Roberts,Nov-14,343,192,Fiction
Road Trip of the Undead,Dalton Ford,Oct-14,611,234,Fiction
Hornswoggled in His Love!,Ross Shultz,Oct-14,89,186,Fiction
Wychetts and the Tome of Terror,William Holley,Oct-14,503,257,Fiction
Wychetts and the Farm of Fear,William Holley,Oct-14,841,211,Fiction
Project Merge,Mona A.,Oct-14,559,231,Fiction
Messiah Clone,Tim Ayers,Oct-14,276,149,Fiction
Wychetts,William Holley,Sep-14,3306,233,Fiction
Shady Medicos,TKraghunathan,Sep-14,261,67,Fiction
"An Honest Man, Book One of The Donkey and the Wall trilogy",J. L. Lawson,Sep-14,780,391,Fiction
"Rolling Thunder, Wings of War Series, Book 1 of 5",Mark Berent,Sep-14,1155,272,Fiction
Light in the Middle of Darkness,Brian Thomas Armstrong,Sep-14,281,27,Fiction
A Story Narrated by an Amateur,Shivang,Sep-14,458,172,Fiction
River Mother,justin spring,Sep-14,793,504,Fiction
DEFOE,Courtney E. Webb,Aug-14,673,60,Fiction
The Privateersman,Andrew Wareham,Aug-14,1325,145,Fiction
Peter and the Plastic Snowman,Roger Hartopp,Jul-14,443,44,Fiction
Surdas' Moment of Glory,T. K. Raghunathan,Jul-14,385,30,Fiction
For Better or Curse,Alexis Jacobs,Jun-14,1124,169,Fiction
Luna,Kayla Smith,May-14,3063,142,Fiction
The Hero's Chamber,Ian A. Newton RPh,May-14,1843,190,Fiction
Rebirth of Ahimsika,T. K. Raghunathan,May-14,323,95,Fiction
Black Hand Gang,David Edwards,Apr-14,979,242,Fiction
Happy Dick'n,Adam Zend,Apr-14,870,237,Fiction
Oppression,William Haycock,Mar-14,525,83,Fiction
Above the Darkness,Sarah Morrissette,Mar-14,1489,159,Fiction
Behind Venetian Blinds,Little Wit & Creative Goth,Mar-14,1757,250,Fiction
The Reincarnation of J. D. Salinger,John Ivan Coby,Mar-14,863,130,Fiction
The Watchman,Matt Langford,Feb-14,802,215,Fiction
"Mischief, Tales of a King",Joana A Park,Feb-14,638,144,Fiction
The Clay Head Benediction,Marty Rafter,Feb-14,318,97,Fiction
The Tourney Story,Paul Audcent,Feb-14,154,60,Fiction
The World of Nicholas Mallet,Paul Audcent,Feb-14,380,130,Fiction
"Raulf, an Adventure of Sorts",Paul Audcent,Feb-14,366,71,Fiction
Don't Say a Word,Patty Stanley,Feb-14,1272,87,Fiction
Fountain,"Medler, John",Feb-14,7079,542,Fiction
A Hero in Black and White,Cristoffer,Jan-14,422,249,Fiction
The Quest of Water and Steel (Gothos Rising),Selena Wolfcastlin,Jan-14,581,62,Fiction
The Movie/Book Dirty Millions the Clean Way,Kirk Tillery,Jan-14,632,368,Fiction
The Devil,Samantha Nicole,Jan-14,1128,113,Fiction
Plutonium's Revenge,Jonathon Waterman,Jan-14,616,167,Fiction
The Consecrated Emenation,H. L. Dowless,Dec-13,252,100,Fiction
High Cotton,P. J. Dunn,Dec-13,1834,206,Fiction
My Weird Short Stories,Paul Audcent,Dec-13,1143,49,Fiction
NumbaCruncha,Rigby Taylor,Dec-13,369,108,Fiction
Deception,Peter Burns,Dec-13,2411,201,Fiction
Alone & Confused: A Gay Man's Story,R-Jay,Dec-13,1106,85,Fiction
Watergate Amendment Vol 2,John J. Fitzgerald,Dec-13,259,47,Fiction
The Dragon in Medieval East Christian and Islamic Art,"Sara Kuehn, Sebastian Günther, et al",Dec-13,219,312,Fiction
Japan Beyond Tragedy,Vindal Vandakoff,Dec-13,766,252,Fiction
Watergate Amendment Vol 1,John Fitzgerald,Dec-13,1048,43,Fiction
When is my Forever,Aileen Friedman,Dec-13,523,198,Fiction
Rio's World,Rayna Felicia,Dec-13,63,49,Fiction
KMFC,Kmfc,Nov-13,436,72,Fiction
The Way She Died,Siti Norimi Zulyani Binti Sahifulddin,Nov-13,228,21,Fiction
The Adventures of Adriela,Christina Sophie,Nov-13,257,40,Fiction
The Speed of Honey,S. J. Howe,Nov-13,3445,246,Fiction
Cream,Ron Sanders,Oct-13,486,128,Fiction
The Eighteen Year,C. Nealy,Oct-13,295,20,Fiction
The Exodus According to G: A Unique View of the Biblical Story,"Albert E. Gilding, Sr.",Oct-13,854,258,Fiction
Death,Kim Hyun Choul,Oct-13,279,66,Fiction
Emperor of Nowhere,Derek P. Blake,Oct-13,439,132,Fiction
Moscow Dogs,Sweeney O'Toole,Oct-13,1013,167,Fiction
The Rise of Peace,Dr. Hafiz Shahid Amin,Oct-13,235,169,Fiction
The Titans,Alex Burrett,Oct-13,236,118,Fiction
Spy People,Duncan James,Oct-13,1072,143,Fiction
Tempest on Board the Sugarcane,Mike Connole,Oct-13,1665,206,Fiction
Forgiveness or Revenge?,Jean Marian Lewis,Sep-13,1437,34,Fiction
The Scimitar and the Glory Boxes,Fred Morse,Sep-13,363,87,Fiction
The Rocks,Fred Morse,Sep-13,761,303,Fiction
Castodis,Jared Sande,Sep-13,230,21,Fiction
The Hills Went Boom!,Hank Acker,Aug-13,1255,452,Fiction
Daughter of the Light,Louise Andersen,Aug-13,2610,291,Fiction
Wendy Is Dead,Jean Marian Lewis,Aug-13,356,37,Fiction
In My Mind's 'I',Paul Keller,Aug-13,1137,213,Fiction
Microcosmia,Ron Sanders,Aug-13,501,305,Fiction
Hero,Ron Sanders,Aug-13,369,54,Fiction
Forced Destiny,Harry Roldan,Aug-13,810,126,Fiction
Anti-Supernatural Assault Team- Book 1- the Seal of Solomon- Parts 1-5,Michael Keyth,Aug-13,851,407,Fiction
Savage Glen and Other Stories,Ron Sanders,Aug-13,288,276,Fiction
Carnival,Ron Sanders,Aug-13,775,366,Fiction
Freak,Ron Sanders,Aug-13,1018,161,Fiction
Elis Royd,Ron Sanders,Aug-13,273,187,Fiction
Signature,Ron Sanders,Aug-13,474,160,Fiction
Man Cheated by Death,Isaí Cervantes,Aug-13,418,56,Fiction
The Harvest of Area 51,Elijah Stephens,Aug-13,659,32,Fiction
Deep Crossing,E.R. Mason,Aug-13,15736,309,Fiction
Anthology Complex,M.B. Julien,Aug-13,1253,121,Fiction
Bin Laden's Woman,Gustavo Homsi,Aug-13,760,65,Fiction
Ms. Grimsley,Bashan Savage,Jul-13,320,47,Fiction
Archan,Bashan Savage,Jul-13,336,29,Fiction
Shadow,Bashan Savage,Jul-13,383,52,Fiction
The Jing Part One: Thursday Dinner,Thomas Longrigg,Jul-13,232,40,Fiction
The Question,Jonathon Waterman,Jul-13,496,230,Fiction
Seven Devils,Matthew Christopher Benner,Jul-13,1231,476,Fiction
Outlandish New Ways to Punish Strangers,Matthew Christopher Benner,Jul-13,779,328,Fiction
The Beijing Office,Grace Lee,Jul-13,648,134,Fiction
Tomb,Bashan Savage,Jul-13,432,69,Fiction
Cauliflower: More Than an Ear,David V. Hesse,Jul-13,915,113,Fiction
The Light in the Darkness,Willem,Jul-13,323,146,Fiction
Songs of Bliss,Clive Gilson,Jul-13,1055,222,Fiction
The Key and the Broken Wing,Jessabell Tales,Jul-13,386,64,Fiction
Stumped!,David Stephenson,Jul-13,559,28,Fiction
Escape from Egypt,George Loukas,Jun-13,5589,115,Fiction
The Undergraduate's Mission,Subham Paul,Jun-13,405,107,Fiction
48 Hours in London,J. Jackson Bentley,Jun-13,15694,206,Fiction
Acts of Faith,Clive Gilson,Jun-13,1144,295,Fiction
Mr Skeffington,Elizabeth Von Armin,May-13,680,111,Fiction
The Adventures of Elizabeth in Rügen,Elizabeth Von Armin,May-13,131,134,Fiction
In the Mountains,Elizabeth Von Armin,May-13,490,75,Fiction
Fräulein Schmidt and Mr. Anstruthe,Elizabeth Von Armin,May-13,431,99,Fiction
Enchanted April,Elizabeth Von Armin,May-13,543,148,Fiction
The Pastor's Wife,Elizabeth Von Armin,May-13,757,253,Fiction
The Princess Priscilla's Fortnight,Elizabeth Von Armin,May-13,535,177,Fiction
Solitary Summer,Elizabeth Von Armin,May-13,639,71,Fiction
Vera,Elizabeth Von Armin,May-13,276,237,Fiction
Christine,Elizabeth Von Armin,May-13,634,40,Fiction
How to Become Famous in High School,Grey Gheist,May-13,758,239,Fiction
Austin Nights,Herocious,May-13,2052,162,Fiction
Squirrel Girl,Barbara Marquardt,May-13,241,214,Fiction
Bashed,Barbara Marquardt,May-13,2732,170,Fiction
Huntsville: A Story of Post Civil War Texas,Glynn Rogers,May-13,5082,299,Fiction
The Hammer Five,Jared Sande,May-13,646,98,Fiction
The Iron in Blood,Jenny Doe,May-13,4418,71,Fiction
The Deadly Onez Road Through Hell,Ziad Antar,May-13,295,48,Fiction
Secret Sidewalk,Tom Lichtenberg,May-13,698,56,Fiction
The Army Chronicles: Basics,C. R. Delport,May-13,539,85,Fiction
International Student Part One,Jackai,Apr-13,328,842,Fiction
Scottish Sampler,Courtney Webb,Apr-13,275,138,Fiction
The Turning Point,John Francis Kinsella,Apr-13,1164,346,Fiction
Grey Heart,Ray Anyasi,Apr-13,547,28,Fiction
The Pizza Joint,David Long,Mar-13,737,104,Fiction
The Gastropoda Imperative,Peter Barns,Mar-13,459,97,Fiction
Sleaford Noir 1,Morris Kenyon,Mar-13,532,77,Fiction
Project G.H.O.S.T,Karen Nguyen,Feb-13,17087,52,Fiction
Untrained Hearts,DJ Vallone,Feb-13,1019,345,Fiction
Fish Farm,Walt Sautter,Feb-13,847,64,Fiction
Mango Mouth,Victor Peter-George,Feb-13,243,37,Fiction
Dieselpunk Epulp Showcase,John Picha,Feb-13,356,125,Fiction
Disconnect -  Book One of the Divided Worlds Trilogy,Imran Siddiq,Feb-13,556,174,Fiction
In Search of Answers Ebook,Conrado L.C.,Feb-13,294,130,Fiction
Fair Lady,Mayra  Brojas,Jan-13,1268,117,Fiction
Payback,Peter Barns,Jan-13,1711,92,Fiction
The Fairy Forest,Kayla Coleman and Tyler Bussmann,Jan-13,1547,34,Fiction
A Deadly Suggestion,R. W. Williams,Jan-13,16427,206,Fiction
The Dastardly Mr Winkle Meets His Match,Rufus Offor,Jan-13,2922,499,Fiction
Some Things Are Better Left Untold (the Sherise Fanari Story),Jason Hooper Sr.,Jan-13,1314,249,Fiction
My Name is Nkosi,Lynn E. Oliviera,Jan-13,270,58,Fiction
The Deadly Onez,Ziad Antar,Jan-13,835,51,Fiction
CON - Condition Other than Normal,Gary Tetterington,Jan-13,518,229,Fiction
Mana,Asher Tensei,Jan-13,1322,174,Fiction
The Last Friends of Willie Coyote,Stephen Thor,Dec-12,890,130,Fiction
First Contact Finders – The Carnivorous Plant,Teodor Pravicky,Dec-12,365,133,Fiction
A Good Find,Gary L. Beer,Dec-12,4062,228,Fiction
Suzy,Gary L. Beer,Dec-12,2051,178,Fiction
For God's sake,Camille Gaudefroy,Dec-12,339,24,Fiction
Warriors of Gaia: Liberty's Cry,D. S. Northrop,Dec-12,2630,344,Fiction
The Monster within Me: The Book of the Prophecy,Giovani Valencia,Dec-12,889,217,Fiction
Trust Me,Noa Leibson,Nov-12,907,251,Fiction
The Other Door,Kanti W. Janis,Nov-12,426,33,Fiction
The Western Front (Part 1 of 3),Archer Garrett,Nov-12,1710,85,Fiction
"Dance with the Divine, a Guidance Story",Kathryn Eriksen,Nov-12,667,210,Fiction
Valotin - Book Two of the Early Years,J Barrett,Feb-13,90,50,Fiction
The Vagaries of Human Destiny,"Shri Hotchand Somomal Gurbani, M.A.  B.Ed",Nov-12,266,205,Fiction
The Deflowering of Rhona Lipshitz,Lisa Lieberman Doctor,Nov-12,3749,98,Fiction
Grand Vision,Michael Cole,Oct-12,680,103,Fiction
The Heart of an Assassin,Tony Bertot,Oct-12,24884,217,Fiction
Poverty Bay,Clare Radomske,Sep-12,2712,190,Fiction
Journey from Dark to Light,Disha Gupta,Sep-12,1505,202,Fiction
The Acolyte,L. J. Stephens,Sep-12,776,71,Fiction
September Mourning,Charles Narasi M.D.,Sep-12,22551,222,Fiction
Anti-Supernatural Assault Team- Book 1- the Seal of Solomon- Part 1,Michael Keyth,Sep-12,1854,60,Fiction
John Gone,Michael Kayatta,Aug-12,2357,520,Fiction
The Shift of Numbers,David Warrington,Aug-12,314,151,Fiction
